rname,scope,country
Wehkamp CB,COTY_Benelux_Consumer Beauty,Netherlands
Amazon_PL,COTY_EDM_Prestige,Poland
BestBuy,Grocery_POC_US_Home_Appliances,US
Marionnaud FR Lux,COTY_France_Prestige,France
El Corte Ingles,PCD_ES,Spain
Juleriaque,COTY_Argentina_Prestige,Argentina
Primor CB,COTY_Spain_Consumer Beauty,Spain
Superbalist ,COTY_South Africa_Prestige,South Africa
Dm_HR,COTY_EDM_Consumer Beauty,Croatia
Nocibe FR Lux,COTY_France_Prestige,France
Nordstrom,Hermes_Americas,United States
Sokos,COTY_EDM_Prestige,Finland
Notino_UK,COTY_EDM_Prestige,UK
Elnino-parfum,COTY_EDM_Prestige,Poland
Parfumdreams,PCD_DE,Germany
Douglas,PCD_DE,Germany
Douglas DE,ADP,Germany
Nordstrom,ADP,United States
El Corte Ingles,ADP,Spain
Sephora IT,Fresh Cosmetics,Italy
De Bijenkorf,MFK,Netherlands
Galeries Lafayette,MFK,France
Nordstrom,MFK,United States
Boots,BNC,United Kingdom
Sephora,BNC,France
Macys,BNC,United States
Best Buy,INTEL,US
Walmart,INTEL,US
Newegg,INTEL,US
Sephora_BR,PCD_BR,Brazil
Douglas DE,MFK,Germany
El Palacio de Hierro,DSA_Converse_POC,Mexico
Foot Locker,DSA_Converse_POC,Australia
Sephora,COTY,US
Parfumdreams,COTY_DACH_Prestige,Germany
Flaconi DE CB,COTY_DACH_Consumer Beauty,Germany
Dm,COTY_DACH_Consumer Beauty,Germany
Boots Lux,COTY_UK_Prestige,UK
Sephora MX,COTY_Mexico_Prestige,Mexico
Centrepoint UAE CB,COTY_Middle East_Consumer Beauty,United Arab Emirates
Target,Grocery_POC_US_Sparkling_Water,US
Amazon Fresh,Grocery_POC_US_Frozen_Foods,US
Kroger,Grocery_POC_US_Energy_Bars,US
Beautysuccess,COTY_France_Consumer Beauty,France
Paco Perfumerias,COTY_Spain_Prestige,Spain
Ulta CB,COTY_US_Consumer Beauty,US
Sephora_TH,COTY_SEA_Prestige,Thailand
Sephora_MY,COTY_SEA_Prestige,Malaysia
Matas_DK,COTY_EDM_Prestige,Denmark
Walmart,Grocery_POC_US_Vodka,US
Sunrise,COTY_TRAP_Prestige,China
Noon SA Lux,COTY_Middle East_Prestige,Saudi Arabia
Epoca Cosmeticos,COTY_Brazil_Prestige,Brazil
Hondos Center,PCD_GR,Greece
Parfumdo,PCD_France,France
Shilla Duty Free,BNC,Korea
Douglas,BNC,Netherlands
David Jones,COTY_Australia_Prestige,Australia
Kroger,Grocery_POC_US_Frozen_Foods,US
Amazon,Grocery_POC_US_Energy_Bars,US
Walgreens,COTY_US_Consumer Beauty,US
Rite Aid,COTY_US_Consumer Beauty,US
Target,COTY_US_Consumer Beauty,US
Makeup_UA,COTY_EDM_Prestige,Ukraine
Albertsons,Grocery_POC_US_Vodka,US
Wehkamp Lux,COTY_Benelux_Prestige,Netherlands
Kalista,Hermes_Europe,France
John Lewis,Hermes_Europe,United Kingdom
Parfumdo,Hermes_Europe,France
Walmart,COTY_US_Consumer Beauty,US
Sephora FR,MFK,France
ICI Paris XL,Hermes_Europe,Belgium
Falabella_CL,COTY_LATAM_Prestige,Chile
Lotte_KR,COTY_Korea_Prestige,Korea
Douglas_RO,COTY_EDM_Prestige,Romania
