Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
104	https://www.mediamarkt.de/de/category/gaming-laptops-348.html?query=gaming%20laptop&queryMeta[ga_query]=gaming%20laptop&queryMeta[queryHash]=f5dee4ab6a31c37039f3a5c41c5d6183b172b143a100fd7ce92fd5ee41111c0f&queryMeta[queryRequestId]=f5dee4ab6a31c37039f3a5c41c5d6183b172b143a100fd7ce92fd5ee41111c0f&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	104	DE	gaming laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
105	https://www.mediamarkt.de/de/brand/apple/mac?query=macbook&queryMeta[ga_query]=macbook&queryMeta[queryHash]=26b47209413e5776b8a32b9ef89bb47312a75875bf475d39a78e5ae4dcc095f3&queryMeta[queryRequestId]=26b47209413e5776b8a32b9ef89bb47312a75875bf475d39a78e5ae4dcc095f3&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	105	DE	macbook	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
106	https://www.mediamarkt.de/de/brand/apple/mac/macbook-pro?query=macbook%20pro&queryMeta[ga_query]=macbook%20pro&queryMeta[queryHash]=27119b85d0a5c58a318119d125117a12a66694c409a28d57966f6d725535f557&queryMeta[queryRequestId]=27119b85d0a5c58a318119d125117a12a66694c409a28d57966f6d725535f557&searchFeatures[0][name]=suggest&searchFeatures[0][value]=1&searchFeatures[1][name]=redirect&searchFeatures[1][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	106	DE	macbook pro	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
107	https://www.mediamarkt.de/de/brand/chromebook/alle-chromebooks?query=chromebook&queryMeta[ga_query]=chromebook&queryMeta[queryHash]=63980f0accbc6b82a0b83a5a809ee641220641c41a1ccc561ae282bc74b47eec&queryMeta[queryRequestId]=63980f0accbc6b82a0b83a5a809ee641220641c41a1ccc561ae282bc74b47eec&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	107	DE	chromebook	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
108	https://www.mediamarkt.de/de/category/mini-pcs-1002.html?query=mini%20pc&queryMeta[ga_query]=mini%20pc&queryMeta[queryHash]=7383e7a9d5aee1b2134c073c9087476becdaac085194c3eb42cc3a2f53e89793&queryMeta[queryRequestId]=7383e7a9d5aee1b2134c073c9087476becdaac085194c3eb42cc3a2f53e89793&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	108	DE	mini pc	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
109	https://www.mediamarkt.de/de/search.html?query=pc%20gaming	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	109	DE	pc gaming	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
110	https://www.mediamarkt.de/de/category/pcs-365.html?query=computer&queryMeta[ga_query]=computer&queryMeta[queryHash]=aa97302150fce811425cd84537028a5afbe37e3f1362ad45a51d467e17afdc9c&queryMeta[queryRequestId]=aa97302150fce811425cd84537028a5afbe37e3f1362ad45a51d467e17afdc9c&searchFeatures[0][name]=suggest&searchFeatures[0][value]=1&searchFeatures[1][name]=redirect&searchFeatures[1][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	110	DE	computer	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
111	https://www.mediamarkt.de/de/search.html?query=hp%20laptops	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	111	DE	hp laptops	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
112	https://www.mediamarkt.de/de/category/laptops-notebooks-362.html?query=laptops&queryMeta[finalQuery]=laptop&queryMeta[ga_query]=laptops&queryMeta[queryHash]=255507591253b5d4ab20c219c09e879eb88e5507eaf2d74eb255febb5c77577c&queryMeta[queryRequestId]=255507591253b5d4ab20c219c09e879eb88e5507eaf2d74eb255febb5c77577c&queryMeta[standardizedQuery]=laptop&queryMeta[userInput]=laptops&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	112	DE	laptops	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
113	https://www.mediamarkt.de/de/search.html?query=dell%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	113	DE	dell laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
